LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE
Laarbeek ,1659,North Brabant ,21815,390,56.17 
Landerd ,1685,North Brabant ,15262,214,70.71 
Landgraaf ,882,Limburg ,37530,1549,24.66 
Landsmeer ,415,North Holland ,10457,458,26.5 
Langedijk ,416,North Holland ,26984,1123,27.03 
Lansingerland ,1621,South Holland ,57188,1018,56.37 
Laren ,417,North Holland ,10846,915,12.41 
Leek ,22,Groningen ,19607,307,64.28 
Leerdam ,545,South Holland ,20586,612,34.42 
Leeuwarden ,80,Friesland ,108113,713,166.99 
Leeuwarderadeel ,81,Friesland ,10275,253,41.46 
Leiden ,546,South Holland ,121199,5409,23.27 
Leiderdorp ,547,South Holland ,26788,2313,12.28 
Leidschendam-Voorburg ,1916,South Holland ,73392,2214,35.62 
Lelystad ,995,Flevoland ,76170,325,765.45 
Leudal ,1640,Limburg ,36213,224,164.89 
Leusden ,327,Utrecht ,28967,493,58.89 
Lingewaal ,733,Gelderland ,11059,216,54.49 
Lingewaard ,1705,Gelderland ,45814,735,69.14 
Lisse ,553,South Holland ,22376,1435,16.05 
Littenseradiel ,140,Friesland ,10929,84,132.64 
Lochem ,262,Gelderland ,33268,156,215.94 
Loon op Zand ,809,North Brabant ,23104,460,50.71 
Lopik ,331,Utrecht ,14000,185,78.98 
Loppersum ,24,Groningen ,10181,93,111.99 
Losser ,168,Overijssel ,22619,229,99.61 
Maasdriel ,263,Gelderland ,24197,364,75.46 
Maasgouw ,1641,Limburg ,23888,526,57.99 
Maassluis ,556,South Holland ,32097,3751,10.12 
Maastricht ,935,Limburg ,122331,2131,60.03 
De Marne ,1663,Groningen ,10205,62,240.33 
Marum ,25,Groningen ,10350,161,64.89 
Medemblik ,420,North Holland ,43331,354,257.56 
Meerssen ,938,Limburg ,19259,716,27.64 
Menameradiel ,1908,Friesland ,13653,200,70.03 
Menterwolde ,1987,Groningen ,12250,154,81.62 
Meppel ,119,Drenthe ,32875,585,57.03 
Middelburg ,687,Zeeland ,47660,984,53.04 
Midden-Delfland ,1842,South Holland ,18449,385,49.38 
Midden-Drenthe ,1731,Drenthe ,33368,98,345.87 
Mill en Sint Hubert ,815,North Brabant ,10843,209,53.17 
Moerdijk ,1709,North Brabant ,36775,229,184.03 
Molenwaard ,1927,South Holland ,29043,246,126.47 
Montferland ,1955,Gelderland ,34985,332,106.63 
Montfoort ,335,Utrecht ,13639,361,38.2 
Mook en Middelaar ,944,Limburg ,7783,453,18.81 
Neder-Betuwe ,1740,Gelderland ,22591,373,68.16 
Nederweert ,946,Limburg ,16773,167,101.78 
Neerijnen ,304,Gelderland ,12022,181,72.9 
Nieuwegein ,356,Utrecht ,61017,2566,25.65 
Nieuwkoop ,569,South Holland ,27114,342,91.16 
Nijkerk ,267,Gelderland ,40600,578,72.1 
Nijmegen ,268,Gelderland ,168499,3081,57.6 
Nissewaard ,1930,South Holland ,85083,1034,98.74 
Noord-Beveland ,1695,Zeeland ,7508,88,121.51 
Noordenveld ,1699,Drenthe ,31110,154,205.32 
Noordoostpolder ,171,Flevoland ,46372,101,595.43 
Noordwijk ,575,South Holland ,25689,719,51.45 
Noordwijkerhout ,576,South Holland ,15982,692,23.42 
Nuenen. Gerwen en Nederwetten ,820,North Brabant ,22596,669,33.94 
Nunspeet ,302,Gelderland ,26707,207,129.53 
Nuth ,951,Limburg ,15577,473,33.13 
Oegstgeest ,579,South Holland ,22855,3123,7.97 
Oirschot ,823,North Brabant ,17989,175,102.84 
Oisterwijk ,824,North Brabant ,25835,403,65.13 
Oldambt ,1895,Groningen ,38558,172,295.96 
Oldebroek ,269,Gelderland ,22824,233,98.84 
Oldenzaal ,173,Overijssel ,32152,1493,21.95 
Olst-Wijhe ,1773,Overijssel ,17760,155,118.37 
Ommen ,175,Overijssel ,17370,97,182.01 
Onderbanken ,881,Limburg ,7882,376,21.24 
Oost Gelre ,1586,Gelderland ,29648,274,110.12 
Oosterhout ,826,North Brabant ,53733,756,73.09 
Ooststellingwerf ,85,Friesland ,25672,115,226.11 
Oostzaan ,431,North Holland ,9154,789,16.08 
Opmeer ,432,North Holland ,11374,274,41.94 
Opsterland ,86,Friesland ,29894,133,227.64 
Oss ,828,North Brabant ,85039,555,159.87 
Oud-Beijerland ,584,South Holland ,23727,1249,19.61 
Oude IJsselstreek ,1509,Gelderland ,39614,292,137.94 
Ouder-Amstel ,437,North Holland ,13255,548,25.78 
Oudewater ,589,Utrecht ,9868,252,40.1 
Overbetuwe ,1734,Gelderland ,46653,423,115.08 
Papendrecht ,590,South Holland ,32140,3380,10.79 
Peel en Maas ,1894,Limburg ,43298,271,161.35 
Pekela ,765,Groningen ,12733,262,50.2 
Pijnacker-Nootdorp ,1926,South Holland ,51068,1341,38.61 
Purmerend ,439,North Holland ,79552,3389,24.56 
Putten ,273,Gelderland ,24044,280,87.41 
Raalte ,177,Overijssel ,36526,214,172.29 
Reimerswaal ,703,Zeeland ,21915,213,242.42 
Renkum ,274,Gelderland ,31577,687,47.23 
Renswoude ,339,Utrecht ,4928,262,18.51 
Reusel-De Mierden ,1667,North Brabant ,12728,162,78.64 
Rheden ,275,Gelderland ,43563,533,84.35 
Rhenen ,340,Utrecht ,19123,453,43.76 
Ridderkerk ,597,South Holland ,45207,1904,25.26 
Rijnwaarden ,196,Gelderland ,10926,276,48.08 
Rijssen-Holten ,1742,Overijssel ,37696,399,94.38 
Rijswijk ,603,South Holland ,47680,3344,14.49 
Roerdalen ,1669,Limburg ,20808,239,88.7 
Roermond ,957,Limburg ,57030,923,71.1 
De Ronde Venen ,736,Utrecht ,42648,426,116.98 
Roosendaal ,1674,North Brabant ,76930,728,107.16 
Rotterdam ,599,South Holland ,618467,2952,325.79 
Rozendaal ,277,Gelderland ,1500,54,27.92 
Rucphen ,840,North Brabant ,22213,347,64.47 
Schagen ,441,North Holland ,46016,273,187.28 
Scherpenzeel ,279,Gelderland ,9496,679,13.81 
Schiedam ,606,South Holland ,76487,4230,19.86 
Schiermonnikoog ,88,Friesland ,938,21,199.07 
Schijndel ,844,North Brabant ,23360,554,41.66 
Schinnen ,962,Limburg ,12961,549,24.12 
Schouwen-Duiveland ,1676,Zeeland ,33821,148,488.21 
Simpelveld ,965,Limburg ,10844,681,16.02 
Sint Anthonis ,1702,North Brabant ,11696,119,99.76 
Sint-Michielsgestel ,845,North Brabant ,28186,481,59.34 
Sint-Oedenrode ,846,North Brabant ,17944,278,64.94 
Sittard-Geleen ,1883,Limburg ,93806,1196,80.53 
Sliedrecht ,610,South Holland ,24528,1888,14.01 
Slochteren ,40,Groningen ,15535,103,158.87 
Sluis ,1714,Zeeland ,23795,85,307.16 
Smallingerland ,90,Friesland ,55496,469,126.17 
Soest ,342,Utrecht ,45430,986,46.43 
Someren ,847,North Brabant ,18700,231,81.5 
Son en Breugel ,848,North Brabant ,16241,610,26.51 
Stadskanaal ,37,Groningen ,32793,280,119.94 
Staphorst ,180,Overijssel ,16365,121,135.69 
Stede Broec ,532,North Holland ,21474,1467,16.37 
Steenbergen ,851,North Brabant ,23409,159,159.14 
Steenwijkerland ,1708,Overijssel ,43372,150,321.59 
Stein ,971,Limburg ,25348,1211,22.62 
Stichtse Vecht ,1904,Utrecht ,63823,655,106.82 
Strijen ,617,South Holland ,8678,174,57.7 
Súdwest-Fryslân ,1900,Friesland ,84258,183,841.56 
Terneuzen ,715,Zeeland ,54711,218,317.76 
Terschelling ,93,Friesland ,4769,55,673.99 
Texel ,448,North Holland ,13566,85,463.16 
Teylingen ,1525,South Holland ,35723,1250,33.49 
Tholen ,716,Zeeland ,25398,174,254
Tiel ,281,Gelderland ,41729,1287,34.81 
Tilburg ,855,North Brabant ,210382,1770,119.18 
Tubbergen ,183,Overijssel ,21216,144,147.44 
Twenterand ,1700,Overijssel ,33939,319,108.14 
Tynaarlo ,1730,Drenthe ,32506,225,147.7 
Tytsjerksteradiel ,737,Friesland ,31980,215,161.41 
Uden ,856,North Brabant ,40934,609,67.53 
Uitgeest ,450,North Holland ,13242,672,22.29 
Uithoorn ,451,North Holland ,28407,1552,19.42 
Urk ,184,Flevoland ,19487,1644,109.91 
Utrecht ,344,Utrecht ,328577,3353,99.21 
Utrechtse Heuvelrug ,1581,Utrecht ,47939,365,134.09 
Vaals ,981,Limburg ,9682,409,23.87 
Valkenburg aan de Geul ,994,Limburg ,16668,461,36.92 
Valkenswaard ,858,North Brabant ,30353,557,56.49 
Veendam ,47,Groningen ,27795,367,78.68 
Veenendaal ,345,Utrecht ,63207,3222,19.72 
Veere ,717,Zeeland ,21882,165,206.63 
Veghel ,860,North Brabant ,37550,480,78.92 
Veldhoven ,861,North Brabant ,44136,1383,31.93 
Velsen ,453,North Holland ,67231,1503,63.05 
Venlo ,983,Limburg ,100381,800,128.99 
Venray ,984,Limburg ,43120,263,165
Vianen ,620,Utrecht ,19573,499,42.39 
Vlaardingen ,622,South Holland ,71059,3005,26.69 
Vlagtwedde ,48,Groningen ,15899,97,170.55 
Vlieland ,96,Friesland ,1097,31,315.8 
Vlissingen ,718,Zeeland ,44450,1302,344.83 
Voerendaal ,986,Limburg ,12447,402,31.52 
Voorschoten ,626,South Holland ,24941,2179,11.56 
Voorst ,285,Gelderland ,23801,193,126.47 
Vught ,865,North Brabant ,25626,770,34.44 
Waalre ,866,North Brabant ,16804,737,22.66 
Waalwijk ,867,North Brabant ,46515,719,67.65 
Waddinxveen ,627,South Holland ,25520,906,29.4 
Wageningen ,289,Gelderland ,37511,1215,32.36 
Wassenaar ,629,South Holland ,25786,506,62.37 
Waterland ,852,North Holland ,17154,326,115.66 
Weert ,988,Limburg ,48727,466,105.52 
Weesp ,457,North Holland ,18231,879,21.83 
Werkendam ,870,North Brabant ,26400,253,121.76 
West Maas en Waal ,668,Gelderland ,18391,237,85.21 
Westerveld ,1701,Drenthe ,18902,69,282.74 
Westervoort ,293,Gelderland ,15147,2168,7.84 
Westland ,1783,South Holland ,103335,1282,90.58 
Weststellingwerf ,98,Friesland ,25487,117,228.45 
Westvoorne ,614,South Holland ,13977,261,97.48 
Wierden ,189,Overijssel ,23906,251,95.39 
Wijchen ,296,Gelderland ,41010,613,69.56 
Wijdemeren ,1696,North Holland ,23170,487,76.36 
Wijk bij Duurstede ,352,Utrecht ,23031,485,50.25 
Winsum ,53,Groningen ,13843,138,102.53 
Winterswijk ,294,Gelderland ,28873,210,138.81 
Woensdrecht ,873,North Brabant ,21654,237,91.91 
Woerden ,632,Utrecht ,50607,560,92.92 
De Wolden ,1690,Drenthe ,23592,106,226.35 
Wormerland ,880,North Holland ,15751,407,45.18 
Woudenberg ,351,Utrecht ,12386,329,36.82 
Woudrichem ,874,North Brabant ,14407,292,51.7 
Zaanstad ,479,North Holland ,150911,2007,83.24 
Zaltbommel ,297,Gelderland ,27207,336,89.04 
Zandvoort ,473,North Holland ,16588,519,43.97 
Zederik ,707,South Holland ,13661,182,76.5 
Zeewolde ,50,Flevoland ,21543,86,268.86 
Zeist ,355,Utrecht ,61337,1262,48.65 
Zevenaar ,299,Gelderland ,32254,609,58
Zoetermeer ,637,South Holland ,123614,3540,37.05 
Zoeterwoude ,638,South Holland ,8089,384,21.96 
Zuidhorn ,56,Groningen ,18767,149,128.37 
Zuidplas ,1892,South Holland ,40878,685,62.42 
Zundert ,879,North Brabant ,21374,176,121.17 
Zutphen ,301,Gelderland ,47154,1150,42.93 
Zwartewaterland ,1896,Overijssel ,22148,267,87.86 
Zwijndrecht ,642,South Holland ,44546,2187,22.77 
Zwolle ,193,Overijssel ,123211,1091,119.36 
